epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
28,629.967,1.02284,9.67693,0.71611,6.08059,0.0205,15.3651,0.82149,0.375,0.55746,0.40998,0,0,0,0,0.99709,9.21118,0.53303,9.43792,0.03208,0,0.000386282,0.000386282,0.000386282
29,652.864,1.22694,10.1699,0.72053,6.39186,0.02528,16.6907,0.82149,0.375,0.55746,0.40998,0,0,0,0,0.99709,9.21118,0.53303,9.43792,0.03208,0,0.000383216,0.000383216,0.000383216
30,675.245,1.10439,9.79878,0.69156,6.07708,0.02419,16.4087,0.47584,0.625,0.47565,0.35007,0,0,0,0,1.01317,8.90932,0.52262,9.35655,0.03189,0,0.000378962,0.000378962,0.000378962
31,697.478,0.93874,10.0469,0.71592,5.3882,0.01992,15.1049,0.49147,0.48212,0.63219,0.47043,0,0,0,0,1.09007,8.88124,0.52928,9.38702,0.03383,0,0.00037352,0.00037352,0.00037352
32,720.738,1.00292,9.92072,0.69609,5.96752,0.02189,15.2666,0.59797,0.375,0.60023,0.40055,0,0,0,0,1.05761,9.23579,0.54462,9.42736,0.03463,0,0.00036689,0.00036689,0.00036689
33,742.212,0.94515,9.56712,0.70647,5.69309,0.02068,14.7657,0.59797,0.375,0.60023,0.40055,0,0,0,0,1.05761,9.23579,0.54462,9.42736,0.03463,0,0.000359072,0.000359072,0.000359072
34,763.597,0.9464,10.1148,0.71365,5.21567,0.01978,14.7513,0.79785,0.375,0.5904,0.38066,0,0,0,0,1.09844,9.00427,0.53353,9.34887,0.03549,0,0.0003466,0.0003466,0.0003466
35,784.946,1.01183,9.71272,0.71398,5.46041,0.02089,14.23,0.83498,0.375,0.5733,0.341,0,0,0,0,1.23877,9.12708,0.53341,9.37821,0.0416,0,0.0003268,0.0003268,0.0003268
36,806.255,1.04577,9.94782,0.69395,6.30356,0.0219,15.5674,0.48071,0.47923,0.56116,0.33541,0,0,0,0,1.21501,9.11787,0.5256,9.33498,0.04124,0,0.000307,0.000307,0.000307
37,827.628,1.06372,9.4368,0.6888,5.63215,0.02208,14.738,0.48071,0.47923,0.56116,0.33541,0,0,0,0,1.21501,9.11787,0.5256,9.33498,0.04124,0,0.0002872,0.0002872,0.0002872
38,851.752,0.93402,9.6083,0.68115,6.00442,0.01929,13.935,0.62727,0.25,0.50634,0.347,0,0,0,0,0.95833,9.33052,0.51906,9.17557,0.0335,0,0.0002674,0.0002674,0.0002674
39,875.969,1.06819,9.56575,0.69472,6.17757,0.02567,14.4096,0.62325,0.21193,0.63151,0.42777,0,0,0,0,0.94999,8.97475,0.5005,9.03283,0.03284,0,0.0002476,0.0002476,0.0002476
40,899.005,0.99956,9.4597,0.71221,5.56705,0.02198,14.2135,0.63445,0.19353,0.65386,0.44984,0,0,0,0,0.86296,8.49182,0.47089,8.91898,0.02928,0,0.0002278,0.0002278,0.0002278
41,923.95,1.5267,9.14376,0.53871,10.5641,0.05785,18.3784,0.63445,0.19353,0.65386,0.44984,0,0,0,0,0.86296,8.49182,0.47089,8.91898,0.02928,0,0.000208,0.000208,0.000208
42,949.248,1.08387,8.37081,0.50069,9.80676,0.03728,15.5653,0.58593,0.125,0.65566,0.48809,0,0,0,0,0.84956,8.53595,0.46645,8.81056,0.02759,0,0.0001882,0.0001882,0.0001882
43,973.053,0.99198,8.42253,0.50317,9.65568,0.03413,15.2332,0.7023,0.24138,0.65087,0.5028,0,0,0,0,0.8537,8.11312,0.4495,8.79572,0.02806,0,0.0001684,0.0001684,0.0001684
44,997.353,0.8491,8.47266,0.48278,9.31528,0.02868,15.7106,0.70178,0.24066,0.52238,0.40656,0,0,0,0,0.93126,8.11275,0.43446,8.85447,0.02963,0,0.0001486,0.0001486,0.0001486
45,1021.89,1.05851,8.26196,0.48367,9.53586,0.03682,14.8253,0.70178,0.24066,0.52238,0.40656,0,0,0,0,0.93126,8.11275,0.43446,8.85447,0.02963,0,0.0001288,0.0001288,0.0001288
46,1045.55,1.03922,7.97524,0.46034,9.51829,0.03455,14.4749,0.70069,0.24112,0.51375,0.39389,0,0,0,0,0.78413,8.1453,0.4278,8.83149,0.02543,0,0.000109,0.000109,0.000109
47,1068.61,0.80841,8.28936,0.48592,9.10338,0.02752,15.4915,0.69185,0.32442,0.51097,0.40192,0,0,0,0,0.85465,8.03893,0.41522,8.84142,0.02808,0,8.92e-05,8.92e-05,8.92e-05
48,1091.49,0.89245,8.1461,0.45704,9.2706,0.02779,14.0746,0.69283,0.32523,0.51873,0.40702,0,0,0,0,0.92913,8.39529,0.41432,8.81001,0.03062,0,6.94e-05,6.94e-05,6.94e-05
49,1115,1.00926,8.13927,0.45742,9.49733,0.03435,14.6775,0.69283,0.32523,0.51873,0.40702,0,0,0,0,0.92913,8.39529,0.41432,8.81001,0.03062,0,4.96e-05,4.96e-05,4.96e-05
50,1138.76,1.05437,8.09897,0.45158,9.25017,0.03511,14.3775,0.6634,0.32703,0.52069,0.40323,0,0,0,0,0.92124,8.33372,0.41146,8.75815,0.03022,0,2.98e-05,2.98e-05,2.98e-05
