epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,3676.96,0.67855,0.47531,0.00986,0.95629,0.97152,0.9849,0.90908,0.42724,0.21815,0.00937,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3792.71,0.68247,0.46916,0.00994,0.96496,0.96408,0.98604,0.91103,0.41826,0.21726,0.00904,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3910.33,0.68246,0.44339,0.00984,0.96882,0.96928,0.98479,0.9145,0.41109,0.22644,0.00889,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,4026.26,0.66318,0.43446,0.00953,0.97094,0.97127,0.98742,0.91929,0.39763,0.19914,0.00856,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,4141.98,0.67391,0.43484,0.00969,0.97027,0.96777,0.98581,0.91436,0.41131,0.20577,0.00887,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,4258.97,0.66568,0.43399,0.00955,0.96245,0.97854,0.98628,0.92226,0.38962,0.2003,0.00847,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,4375.26,0.65731,0.42369,0.00934,0.96836,0.97798,0.98596,0.92141,0.39463,0.19404,0.00853,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,4490.63,0.65453,0.4288,0.00931,0.96583,0.98078,0.98853,0.92383,0.38751,0.18423,0.00845,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,4607.82,0.64727,0.4167,0.00911,0.96931,0.98085,0.98814,0.92529,0.38288,0.18158,0.00811,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,4724.23,0.63931,0.41224,0.0092,0.96351,0.97529,0.98754,0.92727,0.37524,0.18799,0.00803,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,4840.02,0.64113,0.42019,0.00913,0.96845,0.97308,0.98693,0.92623,0.38045,0.19381,0.00811,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,4957.02,0.64912,0.42035,0.00938,0.9636,0.97372,0.98545,0.92542,0.37516,0.19673,0.00814,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,5073.54,0.63557,0.40956,0.00912,0.97616,0.97519,0.98805,0.93029,0.37228,0.17924,0.00794,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,5188.87,0.62594,0.38959,0.00889,0.97417,0.96838,0.98778,0.92683,0.38321,0.18935,0.00832,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,5306.1,0.63723,0.42893,0.00901,0.97171,0.96957,0.98741,0.93043,0.36911,0.18473,0.00786,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,5423.02,0.63757,0.40047,0.00909,0.96985,0.97919,0.98824,0.93236,0.36024,0.18809,0.00769,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,5538.66,0.62115,0.38978,0.00882,0.97138,0.97787,0.98849,0.93364,0.3617,0.18003,0.00766,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,5655.16,0.62213,0.39305,0.00895,0.97429,0.97312,0.98822,0.93585,0.35571,0.17971,0.00754,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,5772.12,0.61991,0.38695,0.0088,0.97394,0.97621,0.98865,0.93606,0.34907,0.1716,0.00744,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,5887.74,0.60713,0.37424,0.00843,0.96637,0.97923,0.98873,0.93787,0.34854,0.17263,0.00741,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,6004.41,0.60845,0.3704,0.00857,0.96736,0.98053,0.98833,0.93663,0.35285,0.17193,0.00756,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6121.21,0.60926,0.37261,0.00862,0.9755,0.98003,0.98944,0.9391,0.34477,0.16018,0.00724,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,6236.45,0.60617,0.36983,0.00845,0.97267,0.97895,0.98919,0.93692,0.35136,0.16116,0.00751,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,6352.79,0.60133,0.37073,0.00851,0.97235,0.98188,0.98817,0.93858,0.34784,0.16779,0.00737,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,6469.18,0.59753,0.35958,0.00841,0.97745,0.97875,0.98955,0.94204,0.3371,0.16485,0.00711,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,6584.82,0.60987,0.37914,0.00863,0.97573,0.974,0.98891,0.94286,0.3367,0.16827,0.00715,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,6701.04,0.61143,0.3673,0.0087,0.97403,0.97991,0.98878,0.93915,0.3463,0.1646,0.00745,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,6817.89,0.59833,0.35828,0.00848,0.97144,0.9797,0.98859,0.9449,0.33386,0.15975,0.00712,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,6933.92,0.58555,0.34868,0.00819,0.96834,0.98283,0.98908,0.94388,0.33755,0.16146,0.00724,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,7049.92,0.58838,0.35331,0.00827,0.97286,0.98395,0.98892,0.94448,0.33376,0.16263,0.00708,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,7166.91,0.57953,0.35288,0.00807,0.97896,0.98174,0.98954,0.94696,0.32494,0.15283,0.00684,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,7282.65,0.58862,0.33861,0.00831,0.97788,0.97453,0.98988,0.94602,0.32656,0.15513,0.00688,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,7398.15,0.58618,0.34085,0.0082,0.98197,0.97293,0.98954,0.94774,0.31852,0.15368,0.00673,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,7515.43,0.59076,0.34045,0.00825,0.97423,0.98353,0.98954,0.94834,0.32289,0.14932,0.00683,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,7631.1,0.56924,0.32411,0.00798,0.98033,0.97773,0.98941,0.94871,0.32177,0.15008,0.00677,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,7746.55,0.57124,0.33147,0.00799,0.97816,0.98235,0.99027,0.94889,0.31949,0.15607,0.00671,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,7863.74,0.57762,0.3411,0.00809,0.98048,0.97412,0.98916,0.95057,0.31546,0.16349,0.00668,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,7979.36,0.5689,0.33729,0.00796,0.97162,0.98296,0.98828,0.94931,0.31409,0.15675,0.00665,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,8094.99,0.57599,0.34498,0.00823,0.97566,0.98025,0.98957,0.95168,0.31394,0.15413,0.00663,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,8211.58,0.56739,0.32971,0.00791,0.97163,0.98189,0.98875,0.94984,0.3157,0.1559,0.00674,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,8327.44,0.56051,0.3328,0.0079,0.97333,0.98303,0.99025,0.95181,0.31097,0.15127,0.00663,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,8442.98,0.56664,0.32885,0.00787,0.9766,0.9827,0.9907,0.95397,0.30923,0.15101,0.00658,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,8559.7,0.55258,0.32063,0.00763,0.97377,0.98603,0.99009,0.95472,0.30592,0.14636,0.00648,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,8676.26,0.55818,0.32106,0.00778,0.97416,0.98382,0.9906,0.95507,0.30426,0.14858,0.00645,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,8792.56,0.55543,0.31479,0.0078,0.97931,0.97936,0.99073,0.95692,0.29775,0.15126,0.00625,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,8910.2,0.55515,0.32536,0.00779,0.97577,0.98228,0.99068,0.9543,0.29826,0.14456,0.00628,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,9027.43,0.5579,0.32155,0.00781,0.97552,0.98528,0.98955,0.95551,0.29821,0.14164,0.00624,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,9143.03,0.54583,0.30765,0.00763,0.97096,0.98638,0.98946,0.95649,0.29518,0.14528,0.00619,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,9259.92,0.55336,0.31315,0.00764,0.98157,0.97869,0.99018,0.9589,0.28996,0.13803,0.00606,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,9377.09,0.5477,0.30781,0.00771,0.98381,0.97374,0.99043,0.95953,0.28901,0.14086,0.0061,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,9492.7,0.54275,0.3055,0.00742,0.97607,0.98386,0.99034,0.96016,0.28698,0.13947,0.006,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,9609.4,0.53807,0.30071,0.00741,0.97976,0.98286,0.99096,0.96104,0.28622,0.1371,0.00601,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,9726.8,0.53851,0.29843,0.00759,0.97759,0.9841,0.99063,0.96115,0.28575,0.13738,0.00603,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,9842.16,0.54406,0.30109,0.00749,0.97763,0.98405,0.99042,0.95981,0.28751,0.14066,0.00606,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,9958.63,0.53808,0.30927,0.00739,0.97838,0.98286,0.99026,0.96038,0.28663,0.13713,0.00602,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
